ID;Centers;Distance;TotalCluster_Charles;Iterations_Charles;Jaccard_Charles;Rand_Charles;TotalCluster_Hanam;Iterations_Hanam;Jaccard_Hanam;Rand_Hanam;Has_Result_Diff
25;12;manhattan;12;0;0.183333333333333;0.698461538461538;12;0;0.22463768115942;0.670769230769231;TRUE
53;12;manhattan;12;0;0.304347826086957;0.753846153846154;12;0;0.301369863013699;0.686153846153846;TRUE
81;12;manhattan;12;0;0.26056338028169;0.676923076923077;12;0;0.216417910447761;0.676923076923077;TRUE
109;12;manhattan;12;0;0.260869565217391;0.738461538461539;12;0;0.201550387596899;0.683076923076923;TRUE
137;12;manhattan;12;0;0.260869565217391;0.738461538461539;12;0;0.260869565217391;0.738461538461539;FALSE
165;12;manhattan;12;0;0.269565217391304;0.741538461538462;12;0;0.267605633802817;0.68;TRUE
193;12;manhattan;12;0;0.186991869918699;0.692307692307692;12;0;0.176470588235294;0.655384615384615;TRUE
221;12;manhattan;12;0;0.210526315789474;0.723076923076923;12;0;0.252173913043478;0.735384615384615;TRUE
249;12;manhattan;12;0;0.228070175438596;0.729230769230769;12;0;0.166666666666667;0.676923076923077;TRUE
277;12;manhattan;12;0;0.194915254237288;0.707692307692308;12;0;0.236842105263158;0.732307692307692;TRUE
12;13;euclidean;13;12;0.133333333333333;0.68;13;6;0.151515151515152;0.655384615384615;TRUE
40;13;euclidean;13;10;0.217391304347826;0.723076923076923;13;11;0.236842105263158;0.732307692307692;TRUE
68;13;euclidean;13;12;0.15748031496063;0.670769230769231;13;18;0.217391304347826;0.723076923076923;TRUE
96;13;euclidean;13;15;0.192982456140351;0.716923076923077;13;6;0.228070175438596;0.729230769230769;TRUE
124;13;euclidean;13;9;0.151515151515152;0.655384615384615;13;4;0.2;0.704615384615385;TRUE
152;13;euclidean;13;7;0.203821656050955;0.615384615384615;13;13;0.192982456140351;0.716923076923077;TRUE
180;13;euclidean;13;18;0.172413793103448;0.704615384615385;13;14;0.192982456140351;0.716923076923077;TRUE
208;13;euclidean;13;40;0.155172413793103;0.698461538461538;13;5;0.134453781512605;0.683076923076923;TRUE
236;13;euclidean;13;12;0.163793103448276;0.701538461538462;13;10;0.168067226890756;0.695384615384615;TRUE
264;13;euclidean;13;6;0.172413793103448;0.704615384615385;13;4;0.112;0.658461538461538;TRUE
